Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 150,Novostar II US$,Novomatic,$,2019-07-06 03:00:00,464,247.00000,19.10000,13.239200000,0.0536
Slot 331,Crystal Dual NIO C$,IGT,C$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 282,Crystal Slant US $,IGT,$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0650
Slot 233,GK10 Slant,IGT,C$,2019-07-01 15:00:00,153,9.21405,-15.37689,0.368562000,0.0400
Slot 150,Novostar II US$,Novomatic,$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 282,Crystal Slant US $,IGT,$,2019-05-23 14:00:00,0,0.00000,0.00000,0.000000000,0.0650
Slot 233,GK10 Slant,IGT,C$,2019-05-17 00:00:00,9,2.42400,2.42400,0.096960000,0.0400
Slot 233,GK10 Slant,IGT,C$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 331,Crystal Dual NIO C$,IGT,C$,2019-07-06 03:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 114,CDS Reel Deal 10,CDS,C$,2019-05-06 20:00:00,80,24.54300,6.36300,1.472580000,0.0600
Slot 116,CDS Reel Deal 10,CDS,C$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 331,Crystal Dual NIO C$,IGT,C$,2019-06-05 13:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 150,Novostar II US$,Novomatic,$,2019-05-10 08:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 233,GK10 Slant,IGT,C$,2019-06-05 13:00:00,186,11.78670,5.66610,0.471468000,0.0400
Slot 282,Crystal Slant US $,IGT,$,2019-05-10 08:00:00,0,0.00000,0.00000,0.000000000,0.0650
Slot 150,Novostar II US$,Novomatic,$,2019-05-23 14:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 114,CDS Reel Deal 10,CDS,C$,2019-04-27 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 150,Novostar II US$,Novomatic,$,2019-06-12 07:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 331,Crystal Dual NIO C$,IGT,C$,2019-05-26 15:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 116,CDS Reel Deal 10,CDS,C$,2019-05-06 20:00:00,114,10.15050,1.21200,0.609030000,0.0600
Slot 114,CDS Reel Deal 10,CDS,C$,2019-06-25 16:00:00,421,127.86600,13.33200,7.671960000,0.0600
Slot 233,GK10 Slant,IGT,C$,2019-06-29 00:00:00,491,17.27100,-3.96930,0.690840000,0.0400
Slot 233,GK10 Slant,IGT,C$,2019-05-23 14:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 114,CDS Reel Deal 10,CDS,C$,2019-07-04 17:00:00,136,4.13877,0.93651,0.248326200,0.0600
Slot 116,CDS Reel Deal 10,CDS,C$,2019-06-25 16:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 282,Crystal Slant US $,IGT,$,2019-05-06 20:00:00,0,0.00000,0.00000,0.000000000,0.0650
Slot 114,CDS Reel Deal 10,CDS,C$,2019-05-30 05:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 116,CDS Reel Deal 10,CDS,C$,2019-07-04 17:00:00,193,58.60740,4.83360,3.516444000,0.0600
Slot 114,CDS Reel Deal 10,CDS,C$,2019-06-19 00:00:00,50,4.93890,1.51500,0.296334000,0.0600
Slot 343,Oxygen $,Atronic,$,2019-06-25 16:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 318,Emotion NIO Cord,Atronic,C$,2019-05-23 14:00:00,1,0.01500,0.01500,0.001200000,0.0800
Slot 286,MAV 500 NIO,Aristocrat,C$,2019-06-12 07:00:00,0,0.00000,0.00000,0.000000000,0.0671
Slot 161,I-Game 044,IGT,$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 343,Oxygen $,Atronic,$,2019-03-31 06:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 218,G-FORCE,Merkur,$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0596
Slot 286,MAV 500 NIO,Aristocrat,C$,2019-07-06 03:00:00,381,342.58880,52.57820,22.987708480,0.0671
Slot 293,A560,Ainsworth,$,2019-07-01 15:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 293,A560,Ainsworth,$,2019-07-06 03:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 304,Crystal Slant Nio c$,IGT,C$,2019-06-12 07:00:00,0,0.00000,0.00000,0.000000000,0.0968
Slot 129,MAV500,Aristocrat,$,2019-07-01 15:00:00,0,0.00000,0.00000,0.000000000,0.0529
Slot 279,Reel Deal 50,CDS,C$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 286,MAV 500 NIO,Aristocrat,C$,2019-06-22 10:00:00,34,3.09060,2.99970,0.207379260,0.0671
Slot 111,CDS Reel Deal 10,CDS,C$,2019-06-25 16:00:00,94,14.21070,-36.20850,0.852642000,0.0600
Slot 304,Crystal Slant Nio c$,IGT,C$,2019-05-23 14:00:00,0,0.00000,0.00000,0.000000000,0.0968
Slot 111,CDS Reel Deal 10,CDS,C$,2019-06-22 10:00:00,242,73.32600,24.24000,4.399560000,0.0600
Slot 343,Oxygen $,Atronic,$,2019-06-09 01:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 129,MAV500,Aristocrat,$,2019-07-06 03:00:00,0,0.00000,0.00000,0.000000000,0.0529
Slot 343,Oxygen $,Atronic,$,2019-05-06 20:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 218,G-FORCE,Merkur,$,2019-04-27 06:00:00,0,0.00000,0.00000,0.000000000,0.0596
Slot 336,MAV500,Aristocrat,$,2019-05-26 15:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 293,A560,Ainsworth,$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 161,I-Game 044,IGT,$,2019-05-03 19:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 293,A560,Ainsworth,$,2019-06-05 13:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 318,Emotion NIO Cord,Atronic,C$,2019-06-09 01:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 343,Oxygen $,Atronic,$,2019-05-03 19:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 318,Emotion NIO Cord,Atronic,C$,2019-05-20 10:00:00,18,2.02500,1.05000,0.162000000,0.0800
Slot 343,Oxygen $,Atronic,$,2019-07-06 03:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 218,G-FORCE,Merkur,$,2019-05-03 19:00:00,0,0.00000,0.00000,0.000000000,0.0596
Slot 218,G-FORCE,Merkur,$,2019-05-26 15:00:00,0,0.00000,0.00000,0.000000000,0.0596
Slot 336,MAV500,Aristocrat,$,2019-07-04 17:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 343,Oxygen $,Atronic,$,2019-07-04 17:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 161,I-Game 044,IGT,$,2019-04-27 06:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 336,MAV500,Aristocrat,$,2019-06-02 08:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 136,Oxygen $,Atronic,$,2019-06-29 00:00:00,0,0.00000,0.00000,0.000000000,0.0724
Slot 343,Oxygen $,Atronic,$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 318,Emotion NIO Cord,Atronic,C$,2019-06-19 00:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 161,I-Game 044,IGT,$,2019-06-09 01:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 336,MAV500,Aristocrat,$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 343,Oxygen $,Atronic,$,2019-05-03 20:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 111,CDS Reel Deal 10,CDS,C$,2019-06-19 00:00:00,453,59.32740,4.96920,3.559644000,0.0600
Slot 343,Oxygen $,Atronic,$,2019-06-12 07:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 211,GK50 AVP Upright,IGT,C$,2019-05-03 19:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 211,GK50 AVP Upright,IGT,C$,2019-07-04 17:00:00,200,302.10000,-3.02100,12.084000000,0.0400
Slot 211,GK50 AVP Upright,IGT,C$,2019-04-30 09:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 104,CDS Reel Deal 10,CDS,C$,2019-07-06 02:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 104,CDS Reel Deal 10,CDS,C$,2019-06-12 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 143,MAV500,Aristocrat,$,2019-03-31 06:00:00,0,0.00000,0.00000,0.000000000,0.0538
Slot 104,CDS Reel Deal 10,CDS,C$,2019-06-15 18:00:00,79,13.05930,1.39380,0.783558000,0.0600
Slot 268,CDS Reel Deal 10,CDS,C$,2019-05-20 09:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 104,CDS Reel Deal 10,CDS,C$,2019-05-13 09:00:00,364,105.29250,5.75700,6.317550000,0.0600
Slot 211,GK50 AVP Upright,IGT,C$,2019-07-01 14:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 118,CDS Reel Deal 10,CDS,C$,2019-05-20 09:00:00,32,1.39380,0.66660,0.083628000,0.0600
Slot 211,GK50 AVP Upright,IGT,C$,2019-04-27 06:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 104,CDS Reel Deal 10,CDS,C$,2019-05-20 09:00:00,116,35.14800,6.06000,2.108880000,0.0600
Slot 186,CDS Reel Deal 10,CDS,C$,2019-06-09 01:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 186,CDS Reel Deal 10,CDS,C$,2019-06-19 00:00:00,326,98.77800,33.93600,5.926680000,0.0600
Slot 104,CDS Reel Deal 10,CDS,C$,2019-05-06 20:00:00,100,20.90700,9.39300,1.254420000,0.0600
Slot 211,GK50 AVP Upright,IGT,C$,2019-06-25 16:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 118,CDS Reel Deal 10,CDS,C$,2019-06-12 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 104,CDS Reel Deal 10,CDS,C$,2019-06-09 01:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 186,CDS Reel Deal 10,CDS,C$,2019-04-27 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 104,CDS Reel Deal 10,CDS,C$,2019-04-27 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 104,CDS Reel Deal 10,CDS,C$,2019-06-29 00:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 104,CDS Reel Deal 10,CDS,C$,2019-03-31 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 268,CDS Reel Deal 10,CDS,C$,2019-05-23 13:00:00,40,11.51400,6.36300,0.690840000,0.0600
Slot 118,CDS Reel Deal 10,CDS,C$,2019-05-03 19:00:00,484,34.23900,1.99980,2.054340000,0.0600
Slot 211,GK50 AVP Upright,IGT,C$,2019-07-06 02:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 118,CDS Reel Deal 10,CDS,C$,2019-05-23 13:00:00,29,7.96890,1.60590,0.478134000,0.0600
Slot 186,CDS Reel Deal 10,CDS,C$,2019-07-06 02:00:00,92,27.79320,6.04200,1.667592000,0.0600
Slot 104,CDS Reel Deal 10,CDS,C$,2019-05-23 13:00:00,3,0.60600,0.60600,0.036360000,0.0600
Slot 143,MAV500,Aristocrat,$,2019-05-13 09:00:00,254,100.72000,39.82000,5.418736000,0.0538
Slot 268,CDS Reel Deal 10,CDS,C$,2019-07-01 14:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 268,CDS Reel Deal 10,CDS,C$,2019-07-06 02:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 268,CDS Reel Deal 10,CDS,C$,2019-05-17 00:00:00,577,123.77550,5.42370,7.426530000,0.0600
Slot 143,MAV500,Aristocrat,$,2019-06-12 07:00:00,0,0.00000,0.00000,0.000000000,0.0538
Slot 118,CDS Reel Deal 10,CDS,C$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 211,GK50 AVP Upright,IGT,C$,2019-03-31 06:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 211,GK50 AVP Upright,IGT,C$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 143,MAV500,Aristocrat,$,2019-05-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0538
Slot 186,CDS Reel Deal 10,CDS,C$,2019-06-25 16:00:00,310,13.99860,2.72700,0.839916000,0.0600
Slot 118,CDS Reel Deal 10,CDS,C$,2019-03-31 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 143,MAV500,Aristocrat,$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0538
Slot 276,G-FORCE,Merkur,$,2019-06-25 16:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 244,Roulette,ZUUM,C$,2019-05-26 15:00:00,1,3.03000,-2.42400,0.121200000,0.0400
Slot 101,Reel Deal 50,CDS,C$,2019-05-03 19:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 246,Roulette,ZUUM,C$,2019-06-25 16:00:00,36,29.87580,10.24140,1.195032000,0.0400
Slot 276,G-FORCE,Merkur,$,2019-05-10 08:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 146,Novostar II US$,Novomatic,$,2019-06-19 00:00:00,957,81.53000,-7.09000,4.370008000,0.0536
Slot 303,AXXIS 23/23,IGT,$,2019-06-22 09:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 103,CDS Reel Deal 10,CDS,C$,2019-05-23 14:00:00,125,23.20980,6.09030,1.392588000,0.0600
Slot 103,CDS Reel Deal 10,CDS,C$,2019-06-12 07:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 344,Oxygen $,Atronic,$,2019-05-30 05:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 276,G-FORCE,Merkur,$,2019-05-03 19:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 103,CDS Reel Deal 10,CDS,C$,2019-05-13 10:00:00,7,0.24240,0.12120,0.014544000,0.0600
Slot 146,Novostar II US$,Novomatic,$,2019-05-20 10:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 101,Reel Deal 50,CDS,C$,2019-07-01 14:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 271,GK20 Slant,IGT,C$,2019-05-13 10:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 103,CDS Reel Deal 10,CDS,C$,2019-07-06 03:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 271,GK20 Slant,IGT,C$,2019-05-30 05:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 246,Roulette,ZUUM,C$,2019-05-13 10:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 103,CDS Reel Deal 10,CDS,C$,2019-07-01 15:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 103,CDS Reel Deal 10,CDS,C$,2019-06-22 10:00:00,655,198.46500,1.21200,11.907900000,0.0600
Slot 146,Novostar II US$,Novomatic,$,2019-06-12 07:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 271,GK20 Slant,IGT,C$,2019-07-01 15:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 344,Oxygen $,Atronic,$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 146,Novostar II US$,Novomatic,$,2019-07-01 15:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 271,GK20 Slant,IGT,C$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 101,Reel Deal 50,CDS,C$,2019-06-09 01:00:00,4,0.60608,0.60608,0.036364800,0.0600
Slot 101,Reel Deal 50,CDS,C$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 246,Roulette,ZUUM,C$,2019-06-09 01:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 146,Novostar II US$,Novomatic,$,2019-06-22 10:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 244,Roulette,ZUUM,C$,2019-05-17 00:00:00,4,4.84800,-2.78760,0.193920000,0.0400
Slot 244,Roulette,ZUUM,C$,2019-05-23 14:00:00,2,0.30300,0.30300,0.012120000,0.0400
Slot 244,Roulette,ZUUM,C$,2019-07-06 03:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 244,Roulette,ZUUM,C$,2019-05-13 10:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 146,Novostar II US$,Novomatic,$,2019-05-26 15:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 276,G-FORCE,Merkur,$,2019-05-26 15:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 303,AXXIS 23/23,IGT,$,2019-05-03 19:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 271,GK20 Slant,IGT,C$,2019-06-19 00:00:00,281,26.66400,8.96880,1.066560000,0.0400
Slot 303,AXXIS 23/23,IGT,$,2019-05-26 15:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 303,AXXIS 23/23,IGT,$,2019-05-13 10:00:00,0,0.00000,0.00000,0.000000000,0.0800
