Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 252,Roulette,ZUUM,C$,2019-04-02 08:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 109,CDS Reel Deal 10,CDS,C$,2019-09-15 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 252,Roulette,ZUUM,C$,2019-07-25 12:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 252,Roulette,ZUUM,C$,2019-07-29 00:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 352,Selexion KP3,Konami Podium,C$,2019-09-08 07:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 109,CDS Reel Deal 10,CDS,C$,2019-09-01 12:00:00,164,5.55864,2.35638,0.333518400,0.0600
Slot 352,Selexion KP3,Konami Podium,C$,2019-08-04 19:00:00,83,8.74500,-12.05100,0.699600000,0.0800
Slot 159,I-Game 044,IGT,$,2019-04-02 08:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 159,I-Game 044,IGT,$,2019-09-21 10:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 109,CDS Reel Deal 10,CDS,C$,2019-08-11 18:00:00,20,6.04200,3.02100,0.362520000,0.0600
Slot 352,Selexion KP3,Konami Podium,C$,2019-09-01 12:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 213,GK50 AVP Upright,IGT,C$,2019-07-15 00:00:00,4,6.04200,6.04200,0.241680000,0.0400
Slot 159,I-Game 044,IGT,$,2019-07-25 12:00:00,25,5.80000,5.00000,0.290000000,0.0500
Slot 213,GK50 AVP Upright,IGT,C$,2019-08-11 18:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 352,Selexion KP3,Konami Podium,C$,2019-07-29 00:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 288,Scorpion Nio,Novomatic,C$,2019-07-25 12:00:00,1130,126.77960,26.93236,8.506911160,0.0671
Slot 213,GK50 AVP Upright,IGT,C$,2019-07-25 12:00:00,36,37.15830,15.10500,1.486332000,0.0400
Slot 252,Roulette,ZUUM,C$,2019-07-15 00:00:00,5,1.14798,0.06042,0.045919200,0.0400
Slot 352,Selexion KP3,Konami Podium,C$,2019-09-11 21:00:00,467,84.55500,31.11300,6.764400000,0.0800
Slot 109,CDS Reel Deal 10,CDS,C$,2019-09-21 10:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 352,Selexion KP3,Konami Podium,C$,2019-08-07 21:00:00,304,59.88000,4.83000,4.790400000,0.0800
Slot 288,Scorpion Nio,Novomatic,C$,2019-07-11 14:00:00,765,89.52790,10.53074,6.007322090,0.0671
Slot 159,I-Game 044,IGT,$,2019-07-29 00:00:00,0,0.00000,0.00000,0.000000000,0.0500
