Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 288,Scorpion Nio,Novomatic,C$,2019-08-16 01:00:00,0,0.00000,0.00000,0.000000000,0.0671
Slot 352,Selexion KP3,Konami Podium,C$,2019-09-09 12:00:00,30,5.40000,1.57500,0.432000000,0.0800
Slot 252,Roulette,ZUUM,C$,2019-09-13 02:00:00,5,9.84984,1.20120,0.393993600,0.0400
Slot 109,CDS Reel Deal 10,CDS,C$,2019-07-19 15:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 159,I-Game 044,IGT,$,2019-09-27 20:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 295,AXXIS 23/23,IGT,$,2019-08-23 01:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 127,Oxygen $,Atronic,$,2019-08-09 01:00:00,0,0.00000,0.00000,0.000000000,0.0615
Slot 102,CDS Reel Deal 10,CDS,C$,2019-08-09 02:00:00,88,4.25961,1.20840,0.255576600,0.0600
Slot 320,Novastar II Nio c$,Novomatic,C$,2019-09-19 06:00:00,0,0.00000,0.00000,0.000000000,0.0736
Slot 127,Oxygen $,Atronic,$,2019-08-19 16:00:00,0,0.00000,0.00000,0.000000000,0.0615
Slot 263,Roulette,ZUUM,C$,2019-08-23 01:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 320,Novastar II Nio c$,Novomatic,C$,2019-08-09 02:00:00,84,41.76660,15.34160,3.074021760,0.0736
Slot 102,CDS Reel Deal 10,CDS,C$,2019-07-23 03:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 102,CDS Reel Deal 10,CDS,C$,2019-08-19 17:00:00,131,39.57510,3.02100,2.374506000,0.0600
Slot 127,Oxygen $,Atronic,$,2019-09-22 15:00:00,0,0.00000,0.00000,0.000000000,0.0615
Slot 184,EGT - Premier,EGT,$,2019-08-19 17:00:00,803,1076.00000,154.00000,66.496800000,0.0618
Slot 120,A560 Multi,Ainsworth,$,2019-09-02 17:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 302,AXXIS 23/23,IGT,$,2019-08-02 12:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 127,Oxygen $,Atronic,$,2019-09-27 19:00:00,0,0.00000,0.00000,0.000000000,0.0615
Slot 102,CDS Reel Deal 10,CDS,C$,2019-09-13 02:00:00,16,1.44144,0.54054,0.086486400,0.0600
Slot 295,AXXIS 23/23,IGT,$,2019-10-01 07:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 302,AXXIS 23/23,IGT,$,2019-08-09 02:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 302,AXXIS 23/23,IGT,$,2019-09-02 17:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 184,EGT - Premier,EGT,$,2019-07-12 17:00:00,126,91.20000,19.72000,5.636160000,0.0618
Slot 102,CDS Reel Deal 10,CDS,C$,2019-08-06 01:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 102,CDS Reel Deal 10,CDS,C$,2019-08-02 13:00:00,253,10.30161,1.02714,0.618096600,0.0600
Slot 184,EGT - Premier,EGT,$,2019-08-13 02:00:00,0,0.00000,0.00000,0.000000000,0.0618
Slot 302,AXXIS 23/23,IGT,$,2019-09-22 15:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 127,Oxygen $,Atronic,$,2019-09-24 09:00:00,0,0.00000,0.00000,0.000000000,0.0615
Slot 302,AXXIS 23/23,IGT,$,2019-08-16 00:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 102,CDS Reel Deal 10,CDS,C$,2019-09-19 06:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 295,AXXIS 23/23,IGT,$,2019-09-16 12:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 120,A560 Multi,Ainsworth,$,2019-09-16 12:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 184,EGT - Premier,EGT,$,2019-09-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0618
Slot 184,EGT - Premier,EGT,$,2019-09-19 06:00:00,0,0.00000,0.00000,0.000000000,0.0618
Slot 184,EGT - Premier,EGT,$,2019-09-16 12:00:00,0,0.00000,0.00000,0.000000000,0.0618
Slot 127,Oxygen $,Atronic,$,2019-09-09 12:00:00,0,0.00000,0.00000,0.000000000,0.0615
Slot 263,Roulette,ZUUM,C$,2019-10-01 07:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 302,AXXIS 23/23,IGT,$,2019-08-06 01:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 120,A560 Multi,Ainsworth,$,2019-10-01 07:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 184,EGT - Premier,EGT,$,2019-08-09 02:00:00,0,0.00000,0.00000,0.000000000,0.0618
Slot 102,CDS Reel Deal 10,CDS,C$,2019-09-27 20:00:00,236,70.60053,8.73873,4.236031800,0.0600
Slot 127,Oxygen $,Atronic,$,2019-08-26 17:00:00,0,0.00000,0.00000,0.000000000,0.0615
Slot 127,Oxygen $,Atronic,$,2019-09-16 12:00:00,0,0.00000,0.00000,0.000000000,0.0615
Slot 295,AXXIS 23/23,IGT,$,2019-09-19 06:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 263,Roulette,ZUUM,C$,2019-09-09 12:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 302,AXXIS 23/23,IGT,$,2019-09-16 12:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 315,Emotion NIO Cord,Atronic,C$,2019-08-26 17:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 315,Emotion NIO Cord,Atronic,C$,2019-07-23 03:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 149,Novostar II US$,Novomatic,$,2019-08-19 17:00:00,326,1630.00000,-100.00000,87.368000000,0.0536
Slot 217,G-FORCE,Merkur,$,2019-04-03 12:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 100,Reel Deal 50,CDS,C$,2019-09-27 19:00:00,0,0.00000,0.00000,0.000000000,0.0600
Slot 164,Admiral - Ult 10,Novomatic,$,2019-08-23 01:00:00,0,0.00000,0.00000,0.000000000,0.0534
Slot 149,Novostar II US$,Novomatic,$,2019-07-12 17:00:00,621,4177.50000,1768.00000,223.914000000,0.0536
Slot 217,G-FORCE,Merkur,$,2019-10-01 07:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 164,Admiral - Ult 10,Novomatic,$,2019-09-19 06:00:00,0,0.00000,0.00000,0.000000000,0.0534
Slot 315,Emotion NIO Cord,Atronic,C$,2019-08-19 17:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 164,Admiral - Ult 10,Novomatic,$,2019-08-13 02:00:00,0,0.00000,0.00000,0.000000000,0.0534
Slot 217,G-FORCE,Merkur,$,2019-09-09 12:00:00,0,0.00000,0.00000,0.000000000,0.0400
