Player Name,Player Gender,Player Years Old,Table Currency,Player Card Level,Promotion Name,Total Promotion Value,Promotion Cost In Dollars,Promotion Issued Date Exact,Promotion Issued Hour
Player 1899,Male,58,$,Card Type 102,Promotion 1000,4.00,4.00,4/10/2019 12:25:05 PM,2019-04-10 12:00:00
Player 1368,Female,46,$,Card Type 102,Promotion 1000,3.00,3.00,4/10/2019 12:25:48 PM,2019-04-10 12:00:00
Player 19756,Male,59,$,Card Type 1,Promotion 1000,2.00,2.00,4/10/2019 12:29:05 PM,2019-04-10 12:00:00
Player 2411,Male,82,$,Card Type 1,Promotion 1000,5.00,5.00,4/10/2019 12:32:31 PM,2019-04-10 12:00:00
Player 20499,Male,37,$,Card Type 1,Promotion 1000,4.00,4.00,4/10/2019 12:34:39 PM,2019-04-10 12:00:00
Player 17762,Female,69,$,Card Type 102,Promotion 1000,19.00,19.00,4/10/2019 12:34:48 PM,2019-04-10 12:00:00
Player 9630,Male,54,$,Card Type 1,Promotion 1000,5.00,5.00,4/10/2019 12:36:19 PM,2019-04-10 12:00:00
Player 1996,Male,65,$,Card Type 102,Promotion 1000,2.00,2.00,4/10/2019 12:37:58 PM,2019-04-10 12:00:00
Player 5693,Female,76,$,Card Type 101,Promotion 1000,13.00,13.00,4/10/2019 12:48:33 PM,2019-04-10 12:00:00
Player 2523,Male,50,$,Card Type 103,Promotion 1000,3.00,3.00,4/10/2019 12:49:26 PM,2019-04-10 12:00:00
Player 19142,Male,60,$,Card Type 102,Promotion 1000,10.00,10.00,4/10/2019 12:55:21 PM,2019-04-10 12:00:00
Player 18023,Female,57,$,Card Type 1,Promotion 1000,6.00,6.00,4/10/2019 12:56:04 PM,2019-04-10 12:00:00
Player 11623,Female,76,$,Card Type 1,Promotion 1000,2.00,2.00,4/10/2019 12:58:07 PM,2019-04-10 12:00:00
Player 5355,Female,66,$,Card Type 102,Promotion 1000,8.00,8.00,4/10/2019 12:59:01 PM,2019-04-10 12:00:00
Player 1805,Male,40,$,Card Type 102,Promotion 1000,4.00,4.00,4/10/2019 1:01:31 PM,2019-04-10 13:00:00
Player 18453,Male,42,$,Card Type 1,Promotion 1000,2.00,2.00,4/10/2019 1:02:00 PM,2019-04-10 13:00:00
Player 13776,Male,50,$,Card Type 101,Promotion 1000,2.00,2.00,4/10/2019 1:02:02 PM,2019-04-10 13:00:00
Player 4476,Male,54,$,Card Type 103,Promotion 1000,6.00,6.00,4/10/2019 1:03:31 PM,2019-04-10 13:00:00
