Player Name,Player Gender,Player Years Old,Player Card Level,Item Ordered,Number Ordered,Item Cateogry,Bar Order Hour,Bar Order Date Exact,Order Total Dollars
Player 6564,Female,59,Card Type 103,Fanta Roja Vaso Promo,1,PROMO SIN ALCOHOL,2019-10-25 20:00:00,10/25/2019 8:07:21 PM,0.02
Player 1170,Male,70,Card Type 103,Club sandwich,1,Platos Fuertes,2019-10-25 21:00:00,10/25/2019 9:55:47 PM,17.50
Player 1170,Male,70,Card Type 103,Coca Cola,1,Platos Fuertes,2019-10-25 21:00:00,10/25/2019 9:55:47 PM,17.50
Player 1170,Male,70,Card Type 103,Postre del Dia,1,Platos Fuertes,2019-10-25 21:00:00,10/25/2019 9:55:47 PM,17.50
Player 2399,Male,59,Card Type 102,Cafe Negro Promo,1,PROMO SIN ALCOHOL,2019-11-02 23:00:00,11/2/2019 11:47:01 PM,0.02
Player 17050,Female,37,Card Type 1,Cafe Negro con Azucar Promo,1,PROMO SIN ALCOHOL,2019-11-03 16:00:00,11/3/2019 4:38:55 PM,0.02
Player 2167,Male,37,Card Type 103,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-11-04 16:00:00,11/4/2019 4:01:51 PM,0.05
Player 19272,Female,38,Card Type 104,L&M Blue Menthol 14 Pack,2,Tabaco,2019-11-05 12:00:00,11/5/2019 12:43:47 PM,7.00
Player 2167,Male,37,Card Type 103,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-11-05 14:00:00,11/5/2019 2:33:17 PM,0.05
Player 5225,Male,59,Card Type 102,Fanta Naranja Vaso Promo,1,PROMO SIN ALCOHOL,2019-11-05 15:00:00,11/5/2019 3:18:31 PM,0.02
Player 1170,Male,70,Card Type 103,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-11-05 19:00:00,11/5/2019 7:46:32 PM,0.05
Player 2399,Male,59,Card Type 102,Cafe Negro Promo,1,PROMO SIN ALCOHOL,2019-11-05 21:00:00,11/5/2019 9:25:27 PM,0.02
Player 2399,Male,59,Card Type 102,Cafe Negro Promo,1,PROMO SIN ALCOHOL,2019-11-05 23:00:00,11/5/2019 11:53:13 PM,0.02
