Player Name,Player Gender,Player Years Old,Player Card Level,Item Ordered,Number Ordered,Item Cateogry,Bar Order Hour,Bar Order Date Exact,Order Total Dollars
Player 11391,Male,44,Card Type 101,Batido de Frutas,1,Platos Fuertes,2019-03-08 18:00:00,3/8/2019 6:54:46 PM,5.00
Player 8926,Female,57,Card Type 105,Zservicio p llevar 5,2,Platos Fuertes,2019-03-08 19:00:00,3/8/2019 7:34:18 PM,34.00
Player 8926,Female,57,Card Type 105,Club sandwich,2,Platos Fuertes,2019-03-08 19:00:00,3/8/2019 7:34:18 PM,34.00
Player 8708,Female,53,Card Type 103,Belmont Light 1/2,2,Tabaco,2019-03-09 20:00:00,3/9/2019 8:12:17 PM,6.00
Player 8708,Female,53,Card Type 103,Marlboro Gold 1/2,2,Tabaco,2019-03-12 19:00:00,3/12/2019 7:41:15 PM,7.00
Player 22335,Male,33,Card Type 1,Toña,1,Platos Fuertes,2019-03-22 18:00:00,3/22/2019 6:35:59 PM,3.00
Player 3902,Male,53,Card Type 102,Leche,1,Platos Fuertes,2019-03-23 16:00:00,3/23/2019 4:30:13 PM,0.50
Player 6373,Female,65,Card Type 1,Agua Botella,1,Platos Fuertes,2019-03-24 17:00:00,3/24/2019 5:30:24 PM,1.50
Player 16116,Male,53,Card Type 101,Coca Cola,1,Platos Fuertes,2019-03-29 02:00:00,3/29/2019 2:56:00 AM,2.00
Player 22399,Male,60,Card Type 101,Con Ensalada,1,Platos Fuertes,2019-03-29 12:00:00,3/29/2019 12:55:08 PM,7.70
Player 22399,Male,60,Card Type 101,Con Tostones,1,Platos Fuertes,2019-03-29 12:00:00,3/29/2019 12:55:08 PM,7.70
Player 22399,Male,60,Card Type 101,Filete de Pescado,1,Platos Fuertes,2019-03-29 12:00:00,3/29/2019 12:55:08 PM,7.70
Player 22335,Male,33,Card Type 1,Copa de Helado FreChoVan,1,Platos Fuertes,2019-03-29 23:00:00,3/29/2019 11:27:48 PM,2.50
Player 16902,Male,54,Card Type 102,Agua Botella,1,Platos Fuertes,2019-03-30 17:00:00,3/30/2019 5:56:51 PM,1.50
Player 16116,Male,53,Card Type 101,Marlboro Gold 1/2,2,Tabaco,2019-03-31 02:00:00,3/31/2019 2:17:12 AM,7.00
Player 2247,Male,74,Card Type 104,Heiniken,1,Platos Fuertes,2019-04-01 18:00:00,4/1/2019 6:35:02 PM,5.00
Player 13394,Male,56,Card Type 102,Toña,1,Platos Fuertes,2019-04-01 19:00:00,4/1/2019 7:22:53 PM,3.00
Player 13394,Male,56,Card Type 102,Coca Cola Zero,1,Platos Fuertes,2019-04-04 19:00:00,4/4/2019 7:41:42 PM,2.00
Player 22335,Male,33,Card Type 1,Toña,1,Platos Fuertes,2019-04-06 20:00:00,4/6/2019 8:21:31 PM,3.00
Player 2247,Male,74,Card Type 104,FDC 4y5 Años,1,Platos Fuertes,2019-04-08 18:00:00,4/8/2019 6:35:48 PM,2.00
Player 22335,Male,33,Card Type 1,Toña,1,Platos Fuertes,2019-04-08 19:00:00,4/8/2019 7:12:01 PM,3.00
Player 19060,Male,52,Card Type 1,Whisky Old Par ,1,Platos Fuertes,2019-03-23 23:00:00,3/23/2019 11:28:29 PM,5.00
Player 3648,Male,48,Card Type 105,Sambuca Shoot,1,Licores,2019-03-24 23:00:00,3/24/2019 11:09:07 PM,7.00
Player 22335,Male,33,Card Type 1,Toña,1,Platos Fuertes,2019-03-26 18:00:00,3/26/2019 6:51:46 PM,3.00
Player 19142,Male,60,Card Type 102,Toña,1,Platos Fuertes,2019-03-27 18:00:00,3/27/2019 6:00:33 PM,3.00
Player 3648,Male,48,Card Type 105,Buffalo Wings,1,Platos Fuertes,2019-03-30 23:00:00,3/30/2019 11:56:05 PM,8.50
Player 16116,Male,53,Card Type 101,Agua Botella,1,Platos Fuertes,2019-04-02 01:00:00,4/2/2019 1:27:23 AM,1.50
Player 2247,Male,74,Card Type 104,FDC 4y5 Años,1,Platos Fuertes,2019-04-02 20:00:00,4/2/2019 8:18:17 PM,2.00
Player 2247,Male,74,Card Type 104,Whisky JW Rojo,1,Platos Fuertes,2019-04-03 18:00:00,4/3/2019 6:03:23 PM,5.00
Player 16670,Male,38,Card Type 102,Dunhill Switch 1/2,10,Tabaco,2019-04-07 23:00:00,4/7/2019 11:00:05 PM,50.00
Player 6373,Female,65,Card Type 1,Toña,1,Platos Fuertes,2019-04-08 16:00:00,4/8/2019 4:57:17 PM,3.00
Player 2247,Male,74,Card Type 104,Heiniken,1,Platos Fuertes,2019-04-11 19:00:00,4/11/2019 7:13:48 PM,5.00
Player 19142,Male,60,Card Type 102,Marlboro Rojo 1/2,1,Tabaco,2019-04-14 02:00:00,4/14/2019 2:15:28 AM,3.50
Player 1826,Male,68,Card Type 1,Agua Botella,1,Platos Fuertes,2019-04-15 08:00:00,4/15/2019 8:52:43 AM,1.50
Player 16116,Male,53,Card Type 101,Coca Cola,1,Platos Fuertes,2019-04-17 22:00:00,4/17/2019 10:55:30 PM,2.00
Player 16116,Male,53,Card Type 101,Coca Cola,1,Platos Fuertes,2019-04-21 22:00:00,4/21/2019 10:35:03 PM,2.00
Player 2079,Male,61,Card Type 1,Toña,1,Platos Fuertes,2019-04-24 16:00:00,4/24/2019 4:16:53 PM,3.00
Player 19142,Male,60,Card Type 102,Coca Cola,1,Platos Fuertes,2019-04-24 18:00:00,4/24/2019 6:31:27 PM,2.00
Player 2247,Male,74,Card Type 104,FDC 4y5 Años,1,Platos Fuertes,2019-04-24 19:00:00,4/24/2019 7:27:03 PM,1.50
