Player Name,Player Gender,Player Years Old,Player Card Level,Item Ordered,Number Ordered,Item Cateogry,Bar Order Hour,Bar Order Date Exact,Order Total Dollars
Player 15062,Male,43,Card Type 102,Tacos Mexicanos,1,Platos Fuertes,2019-01-02 12:00:00,1/2/2019 12:32:48 PM,4.50
Player 1590,Female,40,Card Type 102,Dunhill Switch 1/2,2,Tabaco,2019-01-02 16:00:00,1/2/2019 4:37:07 PM,6.00
Player 1115,Male,50,Card Type 1,Agua Botella,1,Platos Fuertes,2019-01-02 22:00:00,1/2/2019 10:41:34 PM,1.50
Player 14744,Female,47,Card Type 1,Con Papas Chips,1,Platos Fuertes,2019-01-03 12:00:00,1/3/2019 12:09:05 PM,8.00
Player 14744,Female,47,Card Type 1,Hamburguesa de Pollo,1,Platos Fuertes,2019-01-03 12:00:00,1/3/2019 12:09:05 PM,8.00
Player 14744,Female,47,Card Type 1,Con Queso Cheddar,1,Platos Fuertes,2019-01-03 12:00:00,1/3/2019 12:09:05 PM,8.00
Player 14744,Female,47,Card Type 1,Con Tomate,1,Platos Fuertes,2019-01-03 12:00:00,1/3/2019 12:09:05 PM,8.00
Player 14744,Female,47,Card Type 1,Con Pan Ajonjoli,1,Platos Fuertes,2019-01-03 12:00:00,1/3/2019 12:09:05 PM,8.00
Player 14744,Female,47,Card Type 1,Con Cebolla Blanca,1,Platos Fuertes,2019-01-03 12:00:00,1/3/2019 12:09:05 PM,8.00
Player 14744,Female,47,Card Type 1,Con Lechuga,1,Platos Fuertes,2019-01-03 12:00:00,1/3/2019 12:09:05 PM,8.00
Player 5934,Female,52,Card Type 105,Caballo bayo,1,Platos Fuertes,2019-01-03 18:00:00,1/3/2019 6:33:55 PM,5.00
Player 3151,Female,46,Card Type 101,Caballo bayo,1,Platos Fuertes,2019-01-03 20:00:00,1/3/2019 8:51:09 PM,5.00
Player 1429,Male,54,Card Type 101,Coca Cola,1,Platos Fuertes,2019-01-04 14:00:00,1/4/2019 2:37:11 PM,2.00
Player 1590,Female,40,Card Type 102,Dunhill Switch 1/2,1,Tabaco,2019-01-04 18:00:00,1/4/2019 6:50:21 PM,3.00
Player 12493,Male,46,Card Type 102,Coca Cola,1,Platos Fuertes,2019-01-04 21:00:00,1/4/2019 9:15:21 PM,2.00
Player 5934,Female,52,Card Type 105,Coca Cola,3,Platos Fuertes,2019-01-06 12:00:00,1/6/2019 12:43:22 PM,9.50
Player 5934,Female,52,Card Type 105,Coca Cola Zero,1,Platos Fuertes,2019-01-06 12:00:00,1/6/2019 12:43:22 PM,9.50
Player 5934,Female,52,Card Type 105,Agua Botella,1,Platos Fuertes,2019-01-06 12:00:00,1/6/2019 12:43:22 PM,9.50
Player 1590,Female,40,Card Type 102,Dunhill Switch 1/2,6,Tabaco,2019-01-06 14:00:00,1/6/2019 2:20:30 PM,18.00
Player 15062,Male,43,Card Type 102,Premium,1,Platos Fuertes,2019-01-07 10:00:00,1/7/2019 10:25:31 AM,3.00
Player 12493,Male,46,Card Type 102,Agua Botella,1,Platos Fuertes,2019-01-08 21:00:00,1/8/2019 9:26:27 PM,1.50
Player 5934,Female,52,Card Type 105,Agua Botella,1,Platos Fuertes,2019-01-10 14:00:00,1/10/2019 2:59:45 PM,1.50
Player 11114,Male,46,Card Type 101,Filete de Pollo,1,Platos Fuertes,2019-01-11 20:00:00,1/11/2019 8:44:46 PM,7.20
Player 11114,Male,46,Card Type 101,Con Tostones,1,Platos Fuertes,2019-01-11 20:00:00,1/11/2019 8:44:46 PM,7.20
Player 11114,Male,46,Card Type 101,Con Arroz,1,Platos Fuertes,2019-01-11 20:00:00,1/11/2019 8:44:46 PM,7.20
Player 2894,Male,58,Card Type 105,Zservicio p llevar 5,1,Platos Fuertes,2019-01-12 01:00:00,1/12/2019 1:16:00 AM,22.00
Player 2894,Male,58,Card Type 105,Bombones de Pollo,2,Platos Fuertes,2019-01-12 01:00:00,1/12/2019 1:16:00 AM,22.00
Player 9628,Female,60,Card Type 1,Belmont Light 1/2,1,Tabaco,2019-01-12 16:00:00,1/12/2019 4:03:04 PM,3.00
Player 5234,Female,54,Card Type 101,Plato de Frutas,2,Desayunos,2019-01-12 20:00:00,1/12/2019 8:11:22 PM,8.00
Player 5934,Female,52,Card Type 105,Desayuno Tipico,2,Platos Fuertes,2019-01-12 20:00:00,1/12/2019 8:20:46 PM,8.00
Player 12493,Male,46,Card Type 102,Dunhill Switch 1/2,1,Tabaco,2019-01-12 21:00:00,1/12/2019 9:54:48 PM,3.00
Player 2894,Male,58,Card Type 105,Belmont Light 1/2,20,Tabaco,2019-01-13 03:00:00,1/13/2019 3:26:31 AM,60.00
Player 2894,Male,58,Card Type 105,Tacos Mexicanos,2,Platos Fuertes,2019-01-14 00:00:00,1/14/2019 12:57:53 AM,14.00
Player 2894,Male,58,Card Type 105,Zservicio p llevar 5,1,Platos Fuertes,2019-01-14 00:00:00,1/14/2019 12:57:53 AM,14.00
Player 12479,Male,52,Card Type 1,Toña,1,Platos Fuertes,2019-01-14 20:00:00,1/14/2019 8:21:26 PM,2.50
Player 5934,Female,52,Card Type 105,Agua Botella,1,Platos Fuertes,2019-01-15 15:00:00,1/15/2019 3:06:45 PM,1.50
Player 2140,Female,44,Card Type 102,Filete de Cerdo,1,Platos Fuertes,2019-01-16 14:00:00,1/16/2019 2:38:34 PM,8.80
Player 2140,Female,44,Card Type 102,Con Tostones,1,Platos Fuertes,2019-01-16 14:00:00,1/16/2019 2:38:34 PM,8.80
Player 2140,Female,44,Card Type 102,Con Salsa Jalapena,1,Aperitivos Ensaladas,2019-01-16 14:00:00,1/16/2019 2:38:34 PM,8.80
