Player Name,Player Gender,Player Years Old,Player Card Level,Item Ordered,Number Ordered,Item Cateogry,Bar Order Hour,Bar Order Date Exact,Order Total Dollars
Player 22395,Male,Unknown,Card Type 1,Agua Botella,3,Platos Fuertes,2019-08-19 09:00:00,8/19/2019 9:36:11 AM,6.20
Player 1505,Male,62,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-08-20 14:00:00,8/20/2019 2:40:31 PM,0.05
Player 1805,Male,40,Card Type 102,Fanta Roja Vaso Promo,1,PROMO SIN ALCOHOL,2019-08-21 10:00:00,8/21/2019 10:00:38 AM,0.02
Player 22797,Female,46,Card Type 1,Cafe Negro Promo,1,PROMO SIN ALCOHOL,2019-08-21 11:00:00,8/21/2019 11:43:56 AM,0.02
Player 18153,Female,29,Card Type 105,Agua Botella,1,Platos Fuertes,2019-08-21 22:00:00,8/21/2019 10:01:27 PM,1.50
Player 1505,Male,62,Card Type 1,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-08-22 16:00:00,8/22/2019 4:33:24 PM,0.05
Player 1505,Male,62,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-08-22 18:00:00,8/22/2019 6:52:57 PM,0.05
Player 22395,Male,Unknown,Card Type 1,Empaque Free,3,Platos Fuertes,2019-08-22 19:00:00,8/22/2019 7:47:45 PM,33.00
Player 22395,Male,Unknown,Card Type 1,Coca Cola,3,Platos Fuertes,2019-08-22 19:00:00,8/22/2019 7:47:45 PM,33.00
Player 22395,Male,Unknown,Card Type 1,Alitas Empanizadas,3,Platos Fuertes,2019-08-22 19:00:00,8/22/2019 7:47:45 PM,33.00
Player 1287,Female,54,Card Type 1,Copa de Helado FreChoVan,1,Platos Fuertes,2019-06-15 23:00:00,6/15/2019 11:19:17 PM,2.50
Player 2232,Female,79,Card Type 104,Agua Botella,1,Platos Fuertes,2019-06-17 18:00:00,6/17/2019 6:03:55 PM,1.50
Player 10581,Male,49,Card Type 101,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-06-19 11:00:00,6/19/2019 11:47:44 AM,0.02
Player 2232,Female,79,Card Type 104,Te Manzanilla Promo,1,PROMO SIN ALCOHOL,2019-06-23 18:00:00,6/23/2019 6:42:14 PM,0.02
Player 21711,Female,62,Card Type 1,Cerveza Sifon Preparada Promo,1,PROMO CON ALCOHOL,2019-06-24 14:00:00,6/24/2019 2:59:56 PM,0.10
Player 4942,Male,55,Card Type 101,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-06-24 23:00:00,6/24/2019 11:10:59 PM,0.02
Player 15938,Male,58,Card Type 102,Heiniken,1,Platos Fuertes,2019-06-30 14:00:00,6/30/2019 2:53:00 PM,5.00
Player 4942,Male,55,Card Type 101,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-07-03 12:00:00,7/3/2019 12:19:14 PM,0.02
Player 4942,Male,55,Card Type 101,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-07-03 16:00:00,7/3/2019 4:34:40 PM,0.02
Player 4942,Male,55,Card Type 101,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-07-03 20:00:00,7/3/2019 8:02:43 PM,0.02
Player 4942,Male,55,Card Type 101,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-07-05 20:00:00,7/5/2019 8:49:35 PM,0.02
Player 17799,Female,26,Card Type 101,Te Frio Ice Tea Promo,2,PROMO SIN ALCOHOL,2019-07-07 16:00:00,7/7/2019 4:52:46 PM,0.04
Player 1287,Female,54,Card Type 1,Marlboro Gold 1/2,1,Tabaco,2019-07-10 01:00:00,7/10/2019 1:12:33 AM,4.00
Player 10581,Male,49,Card Type 101,Belmont Rojo 1/2,1,Tabaco,2019-07-10 11:00:00,7/10/2019 11:36:25 AM,4.50
Player 21711,Female,62,Card Type 1,Pall Mall Boost Menthol,1,Tabaco,2019-07-12 13:00:00,7/12/2019 1:18:59 PM,4.50
Player 21711,Female,62,Card Type 1,Jugo de Naranja Promo,1,PROMO SIN ALCOHOL,2019-07-14 21:00:00,7/14/2019 9:23:18 PM,0.02
Player 4942,Male,55,Card Type 101,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-07-15 17:00:00,7/15/2019 5:18:14 PM,0.05
