Player Name,Player Gender,Player Years Old,Player Card Level,Item Ordered,Number Ordered,Item Cateogry,Bar Order Hour,Bar Order Date Exact,Order Total Dollars
Player 12596,Male,77,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-09-09 10:00:00,9/9/2019 10:46:18 AM,0.05
Player 12730,Male,65,Card Type 103,FDC 7 Años GR,2,Platos Fuertes,2019-09-10 19:00:00,9/10/2019 7:54:53 PM,7.00
Player 12596,Male,77,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-02 13:00:00,7/2/2019 1:15:01 PM,0.05
Player 8352,Female,64,Card Type 102,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-07-03 17:00:00,7/3/2019 5:40:49 PM,0.05
Player 8416,Female,67,Card Type 101,Subs Palms,1,Platos Fuertes,2019-07-03 18:00:00,7/3/2019 6:54:45 PM,5.00
Player 13155,Male,45,Card Type 103,Toña,1,Platos Fuertes,2019-07-04 19:00:00,7/4/2019 7:12:33 PM,3.00
Player 8352,Female,64,Card Type 102,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-07-04 19:00:00,7/4/2019 7:59:08 PM,0.05
Player 13155,Male,45,Card Type 103,Agua Botella,1,Platos Fuertes,2019-07-04 20:00:00,7/4/2019 8:35:11 PM,1.50
Player 8352,Female,64,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-05 19:00:00,7/5/2019 7:22:14 PM,0.05
Player 8352,Female,64,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-05 19:00:00,7/5/2019 7:55:22 PM,0.05
Player 18835,Female,67,Card Type 102,Fruit Punch Promo,1,PROMO SIN ALCOHOL,2019-07-05 21:00:00,7/5/2019 9:54:07 PM,0.02
Player 13155,Male,45,Card Type 103,Agua Botella,1,Platos Fuertes,2019-07-07 13:00:00,7/7/2019 1:12:57 PM,1.50
Player 8352,Female,64,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-08 19:00:00,7/8/2019 7:33:23 PM,0.05
Player 8352,Female,64,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-08 19:00:00,7/8/2019 7:46:20 PM,0.05
Player 8352,Female,64,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-09 18:00:00,7/9/2019 6:44:08 PM,0.05
Player 22681,Female,31,Card Type 1,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-09 20:00:00,7/9/2019 8:36:00 PM,0.05
Player 18276,Male,26,Card Type 1,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-07-10 16:00:00,7/10/2019 4:34:18 PM,0.02
Player 8416,Female,67,Card Type 101,Caballo bayo,1,Platos Fuertes,2019-07-11 19:00:00,7/11/2019 7:28:01 PM,5.00
Player 19069,Female,57,Card Type 1,Cafe Negro Promo,2,PROMO SIN ALCOHOL,2019-07-12 07:00:00,7/12/2019 7:24:01 AM,0.04
Player 3061,Female,55,Card Type 101,Te Menta Promo,1,PROMO SIN ALCOHOL,2019-07-12 19:00:00,7/12/2019 7:05:31 PM,0.02
Player 22681,Female,31,Card Type 1,Fanta Naranja Vaso Promo,1,PROMO SIN ALCOHOL,2019-07-12 21:00:00,7/12/2019 9:06:56 PM,0.02
Player 12596,Male,77,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-15 11:00:00,7/15/2019 11:30:01 AM,0.05
Player 12596,Male,77,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-15 13:00:00,7/15/2019 1:52:41 PM,0.05
Player 8352,Female,64,Card Type 102,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-07-15 22:00:00,7/15/2019 10:42:25 PM,0.05
Player 13155,Male,45,Card Type 103,Dunhill Switch 1/2,1,Tabaco,2019-07-16 21:00:00,7/16/2019 9:35:46 PM,5.00
Player 18276,Male,26,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-07-18 16:00:00,7/18/2019 4:43:32 PM,0.05
Player 22186,Male,39,Card Type 105,Cafe Correano,4,Platos Fuertes,2019-11-18 13:00:00,11/18/2019 1:15:58 PM,22.00
Player 22186,Male,39,Card Type 105,Red Bull,2,Platos Fuertes,2019-11-18 13:00:00,11/18/2019 1:15:58 PM,22.00
