Player Name,Player Gender,Player Years Old,Player Card Level,Item Ordered,Number Ordered,Item Cateogry,Bar Order Hour,Bar Order Date Exact,Order Total Dollars
Player 5225,Male,59,Card Type 102,Fanta Naranja Vaso Promo,1,PROMO SIN ALCOHOL,2019-11-30 19:00:00,11/30/2019 7:59:19 PM,0.02
Player 1170,Male,70,Card Type 103,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-11-30 20:00:00,11/30/2019 8:12:18 PM,0.05
Player 19272,Female,38,Card Type 104,Extra Salsa Varias,1,Platos Fuertes,2019-11-30 20:00:00,11/30/2019 8:34:22 PM,1.00
Player 5225,Male,59,Card Type 102,Agua Botella,1,Platos Fuertes,2019-11-30 23:00:00,11/30/2019 11:01:41 PM,1.50
Player 1170,Male,70,Card Type 103,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-12-01 13:00:00,12/1/2019 1:02:43 PM,0.05
Player 1899,Male,58,Card Type 102,Plato de Frutas,1,Desayunos,2019-12-01 13:00:00,12/1/2019 1:48:15 PM,4.00
Player 2167,Male,37,Card Type 103,Cerveza Sifon Sin Hieo Promo,2,PROMO CON ALCOHOL,2019-12-01 16:00:00,12/1/2019 4:10:25 PM,0.10
Player 15993,Male,53,Card Type 104,Coca Cola,1,Platos Fuertes,2019-08-18 18:00:00,8/18/2019 6:52:57 PM,2.00
Player 22626,Male,44,Card Type 105,Agua Botella,1,Platos Fuertes,2019-08-19 02:00:00,8/19/2019 2:45:24 AM,1.50
Player 15993,Male,53,Card Type 104,Agua Botella,1,Platos Fuertes,2019-08-19 21:00:00,8/19/2019 9:12:43 PM,1.50
Player 22626,Male,44,Card Type 105,Corona,1,Platos Fuertes,2019-08-21 18:00:00,8/21/2019 6:44:14 PM,4.00
Player 2136,Male,52,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-08-22 17:00:00,8/22/2019 5:32:52 PM,0.05
Player 22626,Male,44,Card Type 105,Extra Salsa Varias,1,Platos Fuertes,2019-08-23 20:00:00,8/23/2019 8:07:38 PM,1.00
Player 22377,Male,40,Card Type 105,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-08-24 02:00:00,8/24/2019 2:13:21 AM,0.02
Player 20222,Male,41,Card Type 101,Te Frio Ice Tea Promo,1,PROMO SIN ALCOHOL,2019-08-25 10:00:00,8/25/2019 10:48:32 AM,0.02
Player 10060,Male,37,Card Type 1,Marlboro Gold 1/2,1,Tabaco,2019-08-26 09:00:00,8/26/2019 9:49:59 AM,4.00
Player 11545,Male,34,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-08-27 12:00:00,8/27/2019 12:45:49 PM,0.05
Player 22609,Female,53,Card Type 102,Cafe con Leche y Azucar Promo,2,PROMO SIN ALCOHOL,2019-08-29 01:00:00,8/29/2019 1:03:24 AM,0.50
Player 3057,Male,48,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-08-29 19:00:00,8/29/2019 7:56:49 PM,0.05
Player 22626,Male,44,Card Type 105,Whisky JW Rojo,2,Platos Fuertes,2019-08-30 19:00:00,8/30/2019 7:51:41 PM,10.00
Player 22626,Male,44,Card Type 105,Limonada,1,Platos Fuertes,2019-08-30 20:00:00,8/30/2019 8:44:15 PM,3.00
Player 22626,Male,44,Card Type 105,Whisky JW Rojo,1,Platos Fuertes,2019-08-30 21:00:00,8/30/2019 9:50:04 PM,5.00
Player 22377,Male,40,Card Type 105,Te Frio Ice Tea Promo,2,PROMO SIN ALCOHOL,2019-08-30 23:00:00,8/30/2019 11:32:48 PM,0.04
Player 11545,Male,34,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-08-31 17:00:00,8/31/2019 5:16:12 PM,0.05
Player 22662,Female,50,Card Type 1,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-09-01 15:00:00,9/1/2019 3:03:11 PM,0.02
Player 11545,Male,34,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-09-01 19:00:00,9/1/2019 7:55:54 PM,0.05
Player 14438,Male,38,Card Type 1,Te Menta Promo,1,PROMO SIN ALCOHOL,2019-09-04 17:00:00,9/4/2019 5:51:10 PM,0.02
Player 2704,Male,63,Card Type 101,Sopa Maruchan,1,Platos Fuertes,2019-09-05 00:00:00,9/5/2019 12:23:56 AM,2.50
Player 22626,Male,44,Card Type 105,Cappuccino,1,Platos Fuertes,2019-09-05 01:00:00,9/5/2019 1:07:44 AM,19.00
Player 22626,Male,44,Card Type 105,Filete de Pollo,2,Platos Fuertes,2019-09-05 01:00:00,9/5/2019 1:07:44 AM,19.00
Player 2136,Male,52,Card Type 1,Cerveza Sifon Sin Hieo Promo,1,PROMO CON ALCOHOL,2019-09-05 20:00:00,9/5/2019 8:36:15 PM,0.05
Player 22626,Male,44,Card Type 105,Hamburguesa de Pollo,1,Platos Fuertes,2019-09-26 18:00:00,9/26/2019 6:37:35 PM,13.50
