Player Name,Player Gender,Player Years Old,Player Card Level,Item Ordered,Number Ordered,Item Cateogry,Bar Order Hour,Bar Order Date Exact,Order Total Dollars
Player 17787,Male,60,Card Type 1,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-06-03 17:00:00,6/3/2019 5:18:52 PM,0.05
Player 5087,Female,42,Card Type 1,Cafe con Leche y Azucar Promo,1,PROMO SIN ALCOHOL,2019-06-05 10:00:00,6/5/2019 10:02:44 AM,0.02
Player 21985,Male,35,Card Type 1,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-06-05 15:00:00,6/5/2019 3:43:25 PM,0.05
Player 21985,Male,35,Card Type 1,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-06-05 16:00:00,6/5/2019 4:20:54 PM,0.05
Player 17623,Male,33,Card Type 105,Dunhill Switch 1/2,1,Tabaco,2019-06-05 22:00:00,6/5/2019 10:30:20 PM,5.00
Player 16502,Male,55,Card Type 105,Coca Cola,1,Platos Fuertes,2019-06-06 17:00:00,6/6/2019 5:05:02 PM,2.00
Player 17787,Male,60,Card Type 1,Cerveza Sifon con Hielo Promo,1,PROMO CON ALCOHOL,2019-06-07 19:00:00,6/7/2019 7:50:52 PM,0.05
Player 1375,Female,51,Card Type 102,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-06-07 22:00:00,6/7/2019 10:34:36 PM,0.02
Player 20495,Female,44,Card Type 105,Dunhill Switch 1/2,4,Tabaco,2019-06-07 23:00:00,6/7/2019 11:14:18 PM,20.00
Player 13776,Male,50,Card Type 101,Coca-Cola Vaso Promo,1,PROMO SIN ALCOHOL,2019-06-08 22:00:00,6/8/2019 10:14:03 PM,0.02
Player 22135,Male,43,Card Type 1,Toña,1,Platos Fuertes,2019-06-09 05:00:00,6/9/2019 5:12:03 AM,3.00
Player 6542,Male,65,Card Type 102,Victoria Frost,1,Platos Fuertes,2019-06-09 14:00:00,6/9/2019 2:15:29 PM,2.50
Player 6810,Male,48,Card Type 101,Cafe Negro Promo,1,PROMO SIN ALCOHOL,2019-06-09 19:00:00,6/9/2019 7:13:36 PM,0.02
Player 19360,Male,67,Card Type 102,Cafe con Leche Promo,1,PROMO SIN ALCOHOL,2019-06-12 19:00:00,6/12/2019 7:23:54 PM,0.02
Player 19695,Male,31,Card Type 102,Coca Cola,1,Platos Fuertes,2019-06-12 21:00:00,6/12/2019 9:22:02 PM,2.00
